T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold
25,0.25,5,20,0.2201601175014901,5.504002937537252,0.8172146677970886,0,0.1945227156480409,0.9916666666666668,0.9690476190476192,0.8273809523809523,0.5851190476190476,-0.14166666666666683,0.24226190476190468,1.0419225811958313,1.0529763296246528,1.126010300219059,1.1594957903027534,0.07303397059440608,-0.0334854900836945
25,0.25,6,20,0.22038777961388198,5.50969449034705,0.7929581999778748,0,0.24957246400910335,0.9797979797979796,0.9671717171717171,0.7929292929292929,0.5611111111111111,-0.1742424242424242,0.2318181818181818,0.7497388914227485,0.7631615564227104,0.826990869641304,0.9139977663755416,0.06382931321859353,-0.08700689673423767
25,0.25,7,20,0.21187070316463402,5.29676757911585,0.8633001446723938,0,0.23726254141557618,0.9970000000000001,1.0,0.897,0.618,-0.10299999999999998,0.279,0.9204839423298836,0.9391154184937477,0.9804185494780541,1.0896558448672296,0.04130313098430638,-0.10923729538917548
25,1.0,0,20,0.2629162907754104,6.57290726938526,0.9282047152519226,0,0.8555691546325743,0.6829670329670329,0.6362637362637361,0.6939560439560439,0.5697802197802198,0.05769230769230782,0.12417582417582418,0.663749860227108,0.8366168051958084,0.6482960276305676,0.6996336862444877,-0.1883207775652408,-0.051337658613920145
25,1.0,1,20,0.2684304316016223,6.710760790040557,0.9873054027557373,0,0.8706909684958983,0.8452380952380952,0.9434523809523808,0.8547619047619047,0.568452380952381,-0.0886904761904761,0.2863095238095237,0.9487967103719711,0.9801228635013104,0.9391883626580239,1.0799146503210069,-0.040934500843286536,-0.140726287662983
25,1.0,2,20,0.2615495580839829,6.538738952099572,0.9574081897735596,0,0.7739154181977296,0.8773333333333332,0.9926666666666669,0.8859999999999999,0.598,-0.10666666666666702,0.2879999999999999,0.7599016286432743,0.7846178486943245,0.7654609248042107,0.8783560246229172,-0.01915692389011381,-0.11289509981870649
25,1.0,3,20,0.263446194949033,6.586154873725825,0.9216253161430359,0,0.8643753705601365,0.6328125,0.6666666666666666,0.715625,0.6156250000000001,0.048958333333333326,0.09999999999999987,0.9586556270718575,1.0258729189634324,0.9395434811711312,1.0130587562918663,-0.08632943779230118,-0.07351527512073508
25,1.0,4,20,0.2553987378144239,6.384968445360598,0.948423445224762,0,0.8724694705046643,0.7427083333333334,0.8744791666666666,0.7895833333333333,0.5953125000000001,-0.08489583333333328,0.19427083333333317,0.7933358453214169,0.8265444070100785,0.7799930050969124,0.9029170125722885,-0.04655140191316609,-0.12292400747537613
25,1.0,5,20,0.27408144095790454,6.852036023947614,0.9310077428817749,0,0.9470873585296065,0.7515151515151516,0.6843434343434344,0.7919191919191918,0.63989898989899,0.10757575757575744,0.15202020202020183,0.7162414826452732,0.8294423997402192,0.6766395509243012,0.8181528866291046,-0.152802848815918,-0.1415133357048034
25,1.0,6,20,0.27250367873667924,6.812591968416982,0.9579402208328247,1,0.9244952132182945,0.8614999999999998,0.8959999999999999,0.798,0.58,-0.09799999999999986,0.21800000000000008,0.8122015684843064,0.8487241834402084,0.7461227625608444,0.8097047507762909,-0.10260142087936397,-0.06358198821544647
