T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold,bv_raw,bv_nc,noise_floor,crc_nc,win,tc_x_bvnc,snr,tc_x_snr
25,0.05,1,20,0.2174851256508972,5.437128141272432,0.7802355289459229,0,0.0510759332971626,0.8272727272727272,0.8510101010101009,0.6762626262626263,0.547979797979798,-0.1747474747474745,0.1282828282828283,0.93243754953146,0.9457573637366294,0.9661986082792282,1.014189912378788,0.0204412445425987,-0.0479913040995598,0.22930034608291572,0.04439753907808756,0.23381791915760983,0.053525120315167124,0,1.109938476952189,0.1898808236684395,4.747020591710988
25,0.05,2,20,0.2301966051433411,5.754915128583527,0.841246485710144,0,0.0472886984893236,0.858080808080808,0.9499999999999998,0.7611111111111111,0.4974747474747475,-0.1888888888888887,0.2636363636363635,0.8902987383306027,0.9226300865411758,0.8957245506346225,0.9995837226510048,-0.0269055359065533,-0.1038591720163822,0.24993879711118427,0.08785533129902375,0.23237400706269198,0.051643808932246585,1,2.1963832824755936,0.3780772746898552,9.45193186724638
25,0.05,3,20,0.2304772083504859,5.761930208762149,0.8036827445030212,0,0.0394888700111715,0.981547619047619,0.9904761904761904,0.7934523809523809,0.5142857142857145,-0.1970238095238096,0.2791666666666664,0.8347275257110596,0.8602874532341958,0.8442873492836952,0.876980510354042,-0.0160001039505005,-0.0326931610703468,0.24666952156201,0.0819293894070017,0.2307391169253865,0.05057340084891388,1,2.0482347351750425,0.35507368884268975,8.876842221067244
25,0.05,4,20,0.2234091387838594,5.585228469596485,0.8158732652664185,0,0.0446838408181561,0.8240000000000002,0.8554999999999999,0.739,0.5615,-0.1164999999999999,0.1775,0.896997706592083,0.9202849432826042,1.0093763291835784,1.1144489005208016,0.0890913859009742,-0.1050725713372231,0.23404089647084678,0.06564429663950716,0.23057688588191447,0.049417666127748436,0,1.641107415987679,0.28469591125072974,7.117397781268243
25,0.05,5,20,0.220033201916773,5.500830047919327,0.7778103351593018,0,0.0503546212193281,0.8752525252525253,0.865151515151515,0.7575757575757576,0.5611111111111111,-0.1075757575757574,0.1964646464646464,1.016938117146492,1.048943193256855,1.0805428564548492,1.1743247404694557,0.0315996631979942,-0.0937818840146065,0.23356856134104237,0.048952958000675034,0.23630711475944477,0.05059912199952781,0,1.223823950016876,0.2071582061780409,5.178955154451023
25,0.05,6,20,0.2226665261971776,5.566663154929442,0.6585073471069336,0,0.0456595399599612,0.9956043956043956,0.9571428571428572,0.7802197802197803,0.5912087912087912,-0.1769230769230767,0.1890109890109891,1.121673871576786,1.1500243946909905,1.133684143424034,1.2204606413841248,-0.0163402512669563,-0.0867764979600906,0.24187607222584862,0.056083184245797835,0.23970293836623238,0.0464871051584105,1,1.4020796061449459,0.23396953173811585,5.849238293452896
25,0.05,7,20,0.2209968801082531,5.524922002706329,0.8461474180221558,0,0.0393925460613521,0.9313333333333336,0.9273333333333332,0.7133333333333334,0.5646666666666668,-0.2139999999999999,0.1486666666666666,0.9667417615652084,0.9914517730474472,1.0608823955059052,1.1454588040709497,0.0694306224584579,-0.0845764085650442,0.2447608157500424,0.06102518098896255,0.24220183054679442,0.04347055297649742,0,1.5256295247240637,0.2519600320575291,6.299000801438227
25,0.25,0,20,0.2233256332683038,5.583140831707596,0.8695967793464661,0,0.2509796305873175,0.8945000000000001,0.9255000000000002,0.7585000000000001,0.5189999999999999,-0.1670000000000001,0.2395000000000001,1.0354110211133958,1.049684078991413,1.1305522561073302,1.2566649347543717,0.0808681771159172,-0.1261126786470414,0.23820443192269522,0.0594227813550079,0.23530170288851548,0.04913397601554573,0,1.4855695338751975,0.25253867959962045,6.313466989990511
25,0.25,1,20,0.2146638201720925,5.366595504302314,0.8614538908004761,0,0.2355082078076091,0.926,0.89,0.7610000000000001,0.5165000000000001,-0.1289999999999999,0.2445,0.9785423159599304,0.9897812992334366,1.0546601116657257,1.1222877398133275,0.0648788124322891,-0.067627628147602,0.23258047511264202,0.06844575818671961,0.2281037587500084,0.04792332889294392,0,1.7111439546679903,0.3000641399413901,7.501603498534752
25,0.25,2,20,0.2159078880133099,5.3976972003327495,0.7168775796890259,0,0.2258768746232578,1.0,1.0,0.923,0.5855,-0.0769999999999999,0.3375,0.8830942675471306,0.9392053008079528,0.9324103266000748,1.1438136845827105,-0.0067949742078781,-0.2114033579826355,0.2293961328639641,0.05403852504816605,0.22976492239753152,0.04845404552780077,1,1.3509631262041513,0.23519049158718153,5.8797622896795385
