country_id,country_name,regime,T_c,polyarchy_last,delta_norm,pool_score_norm,mse_pool_A,mse_pool_B,mse_hnavar,mse_cold,tau2_learned,BV,CRC,seed
85,Lesotho,hybrid,29,0.499,0.005241225007921457,0.0058362120762467384,0.03704943507909775,0.04840034246444702,0.07026457041501999,0.24405166506767273,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
86,Liberia,hybrid,49,0.346,0.007181378081440926,0.008455157279968262,3.464005708694458,3.324172258377075,3.3087658882141113,3.903656482696533,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
87,Malawi,hybrid,39,0.474,0.0074717323295772076,0.008097209967672825,0.15691214799880981,0.22380824387073517,0.22747096419334412,0.2773153483867645,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
89,Mongolia,hybrid,52,0.669,0.010580920614302158,0.011791106313467026,0.21593411266803741,0.2570665180683136,0.21448175609111786,0.256849080324173,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
90,Morocco,authoritarian,33,0.243,0.0070687043480575085,0.008297130465507507,0.041045960038900375,0.06734015047550201,0.061243150383234024,0.0991487130522728,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
91,Netherlands,democracy,92,0.856,0.005485523026436567,0.0060746148228645325,0.08610418438911438,0.1446695178747177,0.08949080854654312,0.4728400409221649,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
92,Panama,democracy,82,0.734,0.008533627726137638,0.00963949877768755,0.3304309844970703,0.33013129234313965,0.30124083161354065,0.4399915933609009,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
95,Sierra Leone,hybrid,32,0.3,0.006754610221832991,0.007705332711338997,0.2604524493217468,0.19406935572624207,0.2281707525253296,0.832580029964447,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
96,Spain,democracy,85,0.891,0.017839886248111725,0.019959406927227974,0.03494386002421379,0.20224598050117493,0.08987359702587128,0.022286484017968178,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
97,Syria,authoritarian,45,0.15,0.007684630807489157,0.008931928314268589,0.044893283396959305,0.08894766867160797,0.041739922016859055,0.0356367751955986,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
98,Tunisia,authoritarian,44,0.19,0.003427795134484768,0.0036944833118468523,0.04757943004369736,0.07754300534725189,0.05774331092834473,0.07672832906246185,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
99,Turkey,hybrid,73,0.642,0.011395875364542007,0.012781446799635887,0.08665706217288971,0.14372503757476807,0.08786611258983612,0.143714040517807,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
100,Ukraine,hybrid,17,0.601,0.0061582839116454124,0.007413461338728666,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
101,United Kingdom,democracy,92,0.857,0.00703292153775692,0.00788865052163601,0.03227600082755089,0.21324235200881958,0.09147807955741882,0.07087279111146927,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
102,Uruguay,democracy,82,0.877,0.012037960812449455,0.01337296050041914,0.04322053864598274,0.14697660505771637,0.058728959411382675,0.08568480610847473,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
103,Algeria,hybrid,25,0.327,0.008615306578576565,0.009904668666422367,0.08760027587413788,0.13309426605701447,0.1607353389263153,0.10380765795707703,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
104,Angola,authoritarian,27,0.165,0.007281855214387178,0.007864684797823429,0.9128884077072144,0.8575920462608337,1.1012649536132812,2.008533477783203,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
105,Armenia,hybrid,17,0.352,0.004435995128005743,0.005096049513667822,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
106,Azerbaijan,authoritarian,17,0.217,0.012907367199659348,0.014444238506257534,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
107,Belarus,authoritarian,17,0.224,0.005394423380494118,0.006124432664364576,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
108,Cameroon,hybrid,41,0.312,0.007989403791725636,0.009138820692896843,0.004614345729351044,0.05379905179142952,0.05425610765814781,0.012088012881577015,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
109,Chad,authoritarian,35,0.28,0.008521704003214836,0.009651059284806252,0.2709863781929016,0.30139100551605225,0.39120447635650635,0.5481767654418945,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
111,Democratic Republic of the Congo,hybrid,16,0.364,0.008467950858175755,0.009641562588512897,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
112,Republic of the Congo,authoritarian,17,0.253,0.0087624816223979,0.010652978904545307,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
114,Dominican Republic,hybrid,51,0.656,0.011948048137128353,0.013341756537556648,0.10398576408624649,0.16038253903388977,0.09254702180624008,0.13012336194515228,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
116,Gabon,hybrid,43,0.349,0.008269678801298141,0.009273593313992023,0.4130498170852661,0.4895777702331543,0.48395809531211853,0.690696120262146,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
117,The Gambia,authoritarian,36,0.259,0.004854034166783094,0.005391714163124561,0.14459143579006195,0.19699202477931976,0.2125108242034912,0.18528462946414948,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
118,Georgia,hybrid,17,0.545,0.007707751356065273,0.008991389535367489,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
119,Guinea-Bissau,hybrid,29,0.444,0.004099397454410791,0.004470247775316238,0.045294180512428284,0.07698684185743332,0.06699967384338379,0.14384472370147705,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
120,Jamaica,democracy,41,0.7,0.0034905578941106796,0.004055539146065712,0.03717271611094475,0.09356268495321274,0.06471292674541473,0.0644642636179924,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
